14D.AX	1414 Degrees Limited
CLU.AX	Cloncurry Metals Ltd
CLV.AX	Clover Corporation Ltd
CLW.AX	Charter Hall Long Wale Reit
CLX.AX	CTI Logistics Ltd
CLZ.AX	Classic Minerals Ltd
CMB.AX	Cambium Bio Limited
CMD.AX	Cassius Mining Limited
CMG.AX	Commonwealth Installment Receipts Trst
CML.AX	Coles Myer Ltd
CMM.AX	Capricorn Metals Ltd
CMMKOA.AX	Capricorn Metals Ltd
CMMKOD.AX	CMMKOD
CMO.AX	CommodiTel Ltd
CMOO.AX	CMOO
CMP.AX	Compumedics Ltd
CMW.AX	Cromwell Corporation Ltd
CMX.AX	Climax Mining Ltd
CMXO.AX	Chemx Materials Limited
CNB.AX	Canberra Investment Corporation Ltd
CND.AX	Candle Australia Ltd
CNDOA.AX	CNDOA
CNI.AX	Centuria Capital Limited
CNJ.AX	Conico Ltd
CNJO.AX	Conico Ltd
CNQ.AX	Carbine Tungsten Limited
CNQO.AX	CNQO
CNU.AX	Chorus Limited
COB.AX	Cobalt Blue Holdings Limited
COD.AX	Cossack Energy Limited
COE.AX	Cooper Energy Ltd
COF.AX	Coffey International Ltd
COG.AX	Consolidated Operations Group Limited
COH.AX	Cochlear Ltd
COHKOA.AX	Cochlear Limited
COHKOB.AX	Cochlear Limited
COHKOC.AX	Cochlear Limited
COHKOG.AX	Cochlear Limited
COHKOQ.AX	Cochlear Limited
COHKOR.AX	Cochlear Limited
COHKOS.AX	Cochlear Limited
COI.AX	Comet Ridge Ltd
COL.AX	Coles Group Limited.
COLKOA.AX	Coles Group Limited.
COLKOB.AX	Coles Group Limited.
COLKOC.AX	Coles Group Limited.
COLKOD.AX	Coles Group Limited.
COLKOE.AX	COLKOE
COLKOF.AX	COLKOF
COS.AX	Cool or Cosy Ltd
COV.AX	Cove Mining NL
COY.AX	Coppermoly Ltd
CPM.AX	Cooper Metals Limited
CPMO.AX	CPMO
CPN.AX	Carpathian Resources Ltd
CPO.AX	Culpeo Minerals Limited
CPOO.AX	CPOO
CPU.AX	Computershare Ltd
CPUKOB.AX	Computershare Limited.
CPUKOC.AX	Computershare Limited.
CPUKOE.AX	Computershare Limited.
CPUKOP.AX	Computershare Limited.
CPUKOR.AX	Computershare Limited.
CPUKOT.AX	Computershare Limited.
CPV.AX	Clearvue Technologies Limited
CQE.AX	Charter Hall Education Trust
CQEKOA.AX	CQEKOA
CQEKOC.AX	CQEKOC
CQR.AX	Charter Hall Retail Reit
CR1.AX	Constellation Resources Limited
CR9.AX	Corella Resources Ltd
CR9O.AX	CR9O
CRB.AX	Carbine Resources Ltd
CRD.AX	Crown Diamonds NL
CRI.AX	Critica Limited
CRIO.AX	CRIO
CRN.AX	Coronado Global Resources Inc.
CRR.AX	Convenience Retail Reit
CRS.AX	Croesus Mining NL
CRYP.AX	CRYP
CSC.AX	Capstone Copper Corp.
CSE.AX	Copper Strike Ltd
CSL.AX	CSL Ltd
CSLKOB.AX	Csl Limited
CSLKOC.AX	Csl Limited
CSLKOG.AX	Csl Limited
CSLKOH.AX	Csl Limited
CSLKOI.AX	Csl Limited
CSLKOQ.AX	Csl Limited
CSLKOS.AX	Csl Limited
CSLKOT.AX	Csl Limited
CSLKOV.AX	Csl Limited
CSLMOT.AX	Csl Limited
CSS.AX	Clean Seas Tuna Ltd
CST.AX	Cellestis Ltd
CSX.AX	Cleanspace Holdings Limited
CT1.AX	Ccp Technologies Limited
CTD.AX	Corporate Travel Management Limited
CTDKOC.AX	Corporate Travel Management Limited
CTDKOD.AX	Corporate Travel Management Limited
CTDKOQ.AX	Corporate Travel Management Limited
CTE.AX	Cryosite Ltd
CTM.AX	Centaurus Metals Limited
CTN.AX	Contango Microcap Ltd
CTO.AX	Citigold Corporation Ltd
CTP.AX	Central Petroleum Ltd
CTQ.AX	Careteq Limited
CTT.AX	Crest Minerals Limited
CU6.AX	Clarity Pharmaceuticals Ltd
CUE.AX	Cue Energy Resources Ltd
CUF.AX	Cufe Ltd
CUFO.AX	CUFO
CUL.AX	Cullen Resources Ltd
CUP.AX	Countplus Limited
CUS.AX	Customers Ltd
CUV.AX	Clinuvel Pharmaceuticals Ltd
CVB.AX	Cheviot Bridge Ltd
CVC.AX	CVC Ltd
CVCHA.AX	CVCHA
CVL.AX	Clearview Capital
CVN.AX	Carnarvon Petroleum Ltd
CVR.AX	Central Asia Resources Ltd
CVV.AX	Caravel Minerals Limited
CVVOB.AX	CVVOB
CVW.AX	Clearview Wealth Limited
CWP.AX	Cedar Woods Properties Ltd
CWX.AX	Carawine Resources Limited
CWY.AX	Cleanaway Waste Management Limited
CWYKOC.AX	Cleanaway Waste Management Limited
CWYKOF.AX	Cleanaway Waste Management Limited
CWYKOP.AX	Cleanaway Waste Management Limited
CWYKOQ.AX	Cleanaway Waste Management Limited
CXL.AX	Central Exchange Ltd
CXM.AX	Centrex Mentals Ltd
CXO.AX	Core Exploration Limited
CXU.AX	
CXUO.AX	Cauldron Energy Limited
CXZ.AX	Connexion Media Limited
CY5.AX	Cygnus Gold Limited
CYC.AX	Cyclopharm Ltd
CYG.AX	Coventry Group Ltd
CYL.AX	Catalyst Metals Ltd
CYM.AX	Cyprium Metals Limited
CYP.AX	Cynata Therapeutics Limited
CYPOA.AX	CYPOA
CYQ.AX	Cycliq Group Ltd
CZN.AX	Corazon Mining Limited
CZR.AX	Coziron Resources Ltd
D2O.AX	Duxton Water Limited
D2OOA.AX	D2OOA
D3E.AX	D3 Energy Limited
DAF.AX	Discovery Africa Limited
DAL.AX	Dalaroo Metals Ltd
DAOR.AX	DAOR
DAVA.AX	DAVA
DBBF.AX	DBBF
DBF.AX	Duxton Broadacre Farms Limited
DBI.AX	Dalrymple Bay Infrastructure Limited
DBO.AX	Diablo Resources Limited
DCC.AX	Digital Cc Limited
DCL.AX	Data & Commerce
DCOR.AX	DCOR
DDB.AX	Dynamic Drill And Blast Holdings Limited
DDR.AX	Dicker Data Limited
DDT.AX	DataDot Technology Ltd
DEG.AX	De Grey Mining Ltd
DEGKOA.AX	DEGKOA
DEGKOB.AX	DEGKOB
DEL.AX	Delorean Corporation Limited
DEM.AX	De.mem Limited
DES.AX	Destra Corporation Ltd
DESO.AX	DESO
DEV.AX	Devex Resources Limited
DFGH.AX	DFGH
DGGF.AX	DGGF
DGH.AX	Desane Group Holdings Ltd
DGL.AX	Dgl Group Limited
DGR.AX	D'Aguilar Gold Ltd
DGSM.AX	DGSM
DGVA.AX	DGVA
DHG.AX	Domain Holdings Australia Limited.
DHHF.AX	DHHF
DHOF.AX	DHOF
DJW.AX	Djerriwarth Investments Ltd
DJXKOC.AX	DJXKOC
DJXKOE.AX	DJXKOE
DJXKOJ.AX	DJXKOJ
DJXKOK.AX	DJXKOK
DJXKOM.AX	DJXKOM
DJXKOQ.AX	Djia Mini E-cbot
DJXKOR.AX	Djia Mini E-cbot
DJXKOY.AX	DJXKOY
DKM.AX	Duketon Mining Limited
DLI.AX	Delta Lithium Limited
DLM.AX	Dominion Minerals Limited
DM1.AX	Directmoney Limited
DM1O.AX	DM1O
DME.AX	Dome Gold Mines Limited
DMG.AX	Dragon Gold Mountain Ltd
DMM.AX	DMC Mining Ltd
DMMO.AX	DMC Mining Ltd
DMP.AX	Domino's Pizza Australia NZ Ltd
DMPKOA.AX	Dominos Pizza Enterprises Limited
DMPKOC.AX	Dominos Pizza Enterprises Limited
DMPKOD.AX	Dominos Pizza Enterprises Limited
DMPKOP.AX	Dominos Pizza Enterprises Limited
DMPKOS.AX	Dominos Pizza Enterprises Limited
DMPKOZ.AX	DMPKOZ
DNA.AX	Donaco International Limited
DNK.AX	Danakali Limited
DOC.AX	Doctor Care Anywhere Group Plc
DOU.AX	Douugh Limited
DOW.AX	Downer EDI Ltd
DOWKOC.AX	Downer Edi Limited
DOWKOP.AX	Downer Edi Limited
DOWKOR.AX	Downer Edi Limited
DOWKOS.AX	Downer Edi Limited
DOWKOT.AX	Downer Edi Limited
DRA.AX	Dragon Mining NL
DRE.AX	Dalrymple Resources Nl
DRO.AX	Droneshield Limited
DRR.AX	Deterra Royalties Limited
DRRKOA.AX	DRRKOA
DRRKOC.AX	DRRKOC
DRRKOD.AX	DRRKOD
DRUG.AX	Betashares Global Healthcare Etf - Currency Hedged
DRX.AX	Diatreme Resources Ltd
DSE.AX	Dropsuite Limited
DSK.AX	Dusk Group Limited
DTEC.AX	DTEC
DTI.AX	Dti Group Ltd
DTL.AX	Data#3 Ltd
DTM.AX	Dart Mining NL
DTR.AX	Dateline Resources Limited
DTRO.AX	DTRO
DTZ.AX	Dotz Nano Limited
DUB.AX	Dubber Corporation Limited
DUG.AX	Dug Technology Ltd
DUI.AX	Diversified United Investment Ltd
DUN.AX	Dundas Minerals Limited
DUR.AX	Duratec Limited
DVL.AX	Dorsavi Ltd
DVP.AX	Develop Global Limited
DXB.AX	Dimerix Limited
DXBO.AX	DXBO
DXC.AX	Dexus Convenience Retail Reit
DXI.AX	Dexus Industria Reit.
DXN.AX	The Data Exchange Network Limited
DXS.AX	Dexus Property Group
DXSKOA.AX	Dexus Property Group
DXSKOB.AX	Dexus Property Group
DXSKOC.AX	Dexus
DXSKOE.AX	DXSKOE
DXSKOQ.AX	Dexus Property Group
DXSKOR.AX	Dexus Property Group
DY6.AX	Dy6 Metals Ltd
DYL.AX	Deep Yellow Ltd
DYLKOB.AX	DYLKOB
DYLKOC.AX	DYLKOC
DYM.AX	Dynamic Metals Limited
DZZF.AX	DZZF
E200.AX	E200
E25.AX	Element 25 Limited
E33.AX	East 33 Limited..
E79.AX	E79 Gold Mines Limited
EAFZ.AX	EAFZ
EAX.AX	Energy Action Limited
EBG.AX	Eumundi Group Ltd
EBO.AX	Ebos Group Limited
EBR.AX	Eagle Bay Resources NL
ECF.AX	Elanor Commercial Property Fund
ECH.AX	Echelon Resources Ltd
ECL.AX	Excelsior Capital Ltd
ECP.AX	E Corp
ECPGA.AX	ECPGA
ECS.AX	ECSI Ltd
ECT.AX	Environmental Clean Technologies Limited.
EDC.AX	Eildon Capital Limited
EDE.AX	Eden Energy Ltd
EDEO.AX	Eden Energy Ltd
EDEOC.AX	Eden Innovations Ltd
EDEOD.AX	EDEOD
EDOC.AX	EDOC
EDU.AX	Edu Holdings Limited
EDV.AX	Endeavour Group Limited
EDVKOB.AX	EDVKOB
EDVKOC.AX	EDVKOC
EDVKOD.AX	EDVKOD
EE1.AX	Earths Energy Limited
EEG.AX	Empire Energy Group Limited
EEL.AX	Envirostar Energy
EFE.AX	Eastern Iron Ltd
EG1.AX	Evergreen Lithium Limited
EGG.AX	Enero Group Limited
EGH.AX	Eureka Group Holdings Limited
EGL.AX	Environmental Group Ltd (The)
EGN.AX	EGN
EGR.AX	Ecograf Limited
EGY.AX	Energy Technologies Limited
EGYO.AX	EGYO
EHL.AX	Emeco Holdings Ltd
EIGA.AX	EIGA
EINC.AX	EINC
EIQ.AX	Echoiq Limited
EL8.AX	Elevate Uranium Ltd
ELD.AX	ELD
ELDKOA.AX	Elders Limited
ELDKOB.AX	ELDKOB
ELS.AX	Equity Long / Short Strategies Fund (the)
ELT.AX	Elementos Limited
EM2.AX	Eagle Mountain Mining Limited
EM2O.AX	EM2O
EMB.AX	Embelton Ltd
EMC.AX	Emefcy Group Limited
EMD.AX	Emerald Clinics Limited
EME.AX	Energy Metals Ltd
EMH.AX	European Metals Holdings Limited
EMKT.AX	Vaneck Vectors Msci Multifactor Emerging Markets E
EML.AX	Emerchants Limited
EMMG.AX	EMMG
EMN.AX	Euro Manganese Inc
EMP.AX	Emperor Mines Ltd
EMPO.AX	EMPO
EMR.AX	Emerald Oil & Gas NL
EMRKOR.AX	EMRKOR
EMS.AX	Eastland Medical Systems Ltd
EMT.AX	Emetals Limited
EMTO.AX	Emetals Limited
EMU.AX	EMU Nickel NL
EMV.AX	Emvision Medical Devices Limited
EMXC.AX	EMXC
ENL.AX	Eagle Nickel Ltd
ENN.AX	Elanor Investors Group
ENR.AX	Encounter Resources Ltd
ENT.AX	
ENV.AX	Envestra Ltd
ENVO.AX	ENVO
ENX.AX	Enegex Nl
EOF.AX	Ecofibre Limited
EOL.AX	Energy One Ltd
EOS.AX	Electro Optic Systems Holdings Ltd
EP1.AX	E&p Financial Group Limited
EPM.AX	Eclipse Metals Limited.
EPN.AX	Epsilon Healthcare Limited
EPY.AX	E-Pay Asia Ltd
EQE.AX	Equus Mining Limited
EQN.AX	Equinox Minerals Ltd (Canada CHESS)
EQR.AX	Equinox Resources Nl
EQS.AX	Equs
EQT.AX	Equity Trustees Ltd
EQX.AX	Eqitx Ltd
ERA.AX	Energy Resources of Australia Ltd
ERARB.AX	ERARB
ERD.AX	Exalt Resources Limited
ERG.AX	ERG Ltd
ERL.AX	Empire Resources Ltd
ERM.AX	Emmerson Resources Ltd
ERTH.AX	ERTH
ERW.AX	Errawarra Resources Ltd
ESK.AX	Etherstack Plc
ESPO.AX	ESPO
ESR.AX	Estrella Resources Limited
ESROB.AX	ESROB
ETM.AX	Energy Transition Minerals Ltd
ETPMAG.AX	Etfs Physical Silver
ETPMPD.AX	Etfs Physical Palladium
ETPMPM.AX	Etfs Physical Pm Basket
ETPMPT.AX	Etfs Physical Platinum
ETR.AX	ETRADE Australia Ltd
ETRO.AX	ETRO
EUR.AX	Euraust Ltd
EURO.AX	EURO
EUROB.AX	European Lithium Limited
EV1.AX	Evolution Energy Minerals Limited
EVE.AX	Energy Ventures Ltd
EVG.AX	Envirogold Ltd
EVN.AX	Evolution Mining Limited
EVNKOA.AX	Evolution Mining Limited
EVNKOB.AX	Evolution Mining Limited
EVNKOC.AX	Evolution Mining Limited
EVNKOD.AX	Evolution Mining Limited
EVNKOE.AX	Evolution Mining Limited
EVNKOP.AX	Evolution Mining Limited
EVNKOR.AX	Evolution Mining Limited
EVO.AX	Evolve Education Group Limited
EVR.AX	Endeavour Mining Corporation
EVROA.AX	EVROA
EVS.AX	Envirosuite Limited
EVT.AX	Event Hospitality And Entertainment Ltd
EVZ.AX	Envirozel Ltd
EWC.AX	Energy World Corporation Ltd
EX20.AX	Betashares Australian Ex-20 Portfolio Diversifier
EXL.AX	Excel Coal Ltd
EXLO.AX	EXLO
EXP.AX	Experience Co Limited
EXR.AX	Elixir Petroleum Ltd
EXROB.AX	EXROB
EXT.AX	Extract Resources Ltd
EXTOD.AX	EXTOD
EYE.AX	Eagle Eye Metals Ltd
EZL.AX	Euroz Ltd
EZZ.AX	Ezz Life Science Holdings Limited
F100.AX	F100
FAIR.AX	Betashares Australian Sustainability Leaders
FAL.AX	Falcon Metals Ltd
FANG.AX	FANG
FAR.AX	First Australian Resources Ltd
FATP.AX	FATP
FAU.AX	First Au Limited
FAUO.AX	First Au Limited
FBM.AX	Future Battery Minerals Limited
FBR.AX	Fastbrick Robotics Ltd
FBU.AX	Fletcher Building Ltd
FBUKOA.AX	Fletcher Building Limited
FBUKOP.AX	Fletcher Building Limited
FBUKOS.AX	Fletcher Building Limited
FCAP.AX	FCAP
FCG.AX	Frontier Capital Group Limited
FCL.AX	Futuris Corporation Ltd
FCT.AX	Firstwave Cloud Technology Limited
FDR.AX	Federation Group Ltd
FDV.AX	Frontier Digital Ventures Limited
FEG.AX	Far East Gold Ltd
FEX.AX	Fenix Resources Ltd
FFF.AX	First Folio Ltd
FFG.AX	Fatfish Internet Group Ltd
FFGO.AX	Fatfish Internet Group Ltd
FFI.AX	FFI Holdings Ltd
FFM.AX	Firefly Metals Ltd
FG1.AX	Flynn Gold Limited
FG1O.AX	FG1O
FGG.AX	Future Generation Global Investment Company Limited
FGH.AX	Foresta Group Holdings Limited
FGL.AX	Foster's Group Ltd
FGR.AX	First Graphite Limited
FGX.AX	Future Generation Investment Fund Limited
FHCO.AX	FHCO
FHE.AX	Frontier Energy Limited
FHNG.AX	FHNG
FHS.AX	Freehill Mining Limited.
FID.AX	Fiducian Group Limited
FIIN.AX	FIIN
FIN.AX	Aii S&p/asx 200 Financials
FL1.AX	First Lithium Limited
FL1O.AX	FL1O
FLC.AX	Fluence Corporation Limited
FLN.AX	Freelancer Limited
FLOT.AX	Vaneck Vectors Australian Floating Rate
FLT.AX	Flight Centre Ltd
FLTKOA.AX	Flight Centre Travel Group Limited
FLTKOB.AX	Flight Centre Travel Group Limited
FLTKOC.AX	Flight Centre Travel Group Limited
FLTKOD.AX	Flight Centre Travel Group Limited
FLTKOQ.AX	Flight Centre Travel Group Limited
FLTKOR.AX	Flight Centre Travel Group Limited
FLX.AX	Felix Resources Ltd
FME.AX	Future Metals Nl
FMEOA.AX	FMEOA
FMG.AX	Fortescue Metals Group Ltd
FMGKOC.AX	Fortescue Metals Group Ltd
FMGKOD.AX	Fortescue Metals Group Ltd
FMGKOM.AX	Fortescue Metals Group Ltd
FMGKON.AX	Fortescue Metals Group Ltd
FMGKOO.AX	Fortescue Metals Group Ltd
FMGKOR.AX	Fortescue Metals Group Ltd
FMGKOS.AX	Fortescue Metals Group Ltd
FMGKOT.AX	Fortescue Metals Group Ltd
FMGKOU.AX	Fortescue Metals Group Ltd
FMGKOX.AX	Fortescue Metals Group Ltd
FMGKOY.AX	Fortescue Metals Group Ltd
FMGKOZ.AX	Fortescue Metals Group Ltd
FMGMOP.AX	Fortescue Metals Group Ltd
FML.AX	Focus Minerals Ltd
FMR.AX	Fmr Resources Limited
FND.AX	Finders Resources Ltd
FNR.AX	Far Northern Resources Limited
FNX.AX	Finexia Financial Group Limited
FOS.AX	Fos Capital Ltd
FPC.AX	Fat Prophets Global Contrarian Fund Ltd
FPH.AX	Fisher & Paykel Healthcare Corp Ltd
FPHKOA.AX	FPHKOA
FPHKOD.AX	FPHKOD
FPHKOE.AX	Fisher & Paykel Healthcare Corporation Limited
FPP.AX	Fat Prophets Global Property Fund
FPR.AX	Fleetpartners Group Limited
FRAR.AX	FRAR
FRB.AX	Firebird Metals Limited
FRE.AX	Freshtel Holdings Ltd
FRGG.AX	FRGG
FRI.AX	Finbar International Ltd
FRM.AX	Farm Pride Foods Ltd
FRS.AX	Ferraus Ltd
FRSO.AX	Forrestania Resources Limited
FRSOA.AX	FRSOA
FRSOB.AX	FRSOB
FRW.AX	Freightways Group Limited
FRX.AX	Flexiroam Limited
FSA.AX	FSA Group Ltd
FSF.AX	Fonterra Shareholders Fund
FSG.AX	Field Solutions Holdings Limited
FSI.AX	Flagship Investments Limited
FSIGA.AX	FSIGA
FTC.AX	Fintech Chain Limited
FTL.AX	Firetail Resources Limited
FTZ.AX	Fertoz Limited
FUEL.AX	Betashares Global Energy Companies - Currency Hedg
FUTR.AX	FUTR
FWD.AX	Fleetwood Corporation Ltd
FXEKOB.AX	Currency Warrant Aud/eur
FXEKOC.AX	FXEKOC
FXEKOR.AX	FXEKOR
FXEKOS.AX	Currency Warrant Aud/eur
FXEKOT.AX	FXEKOT
FXEKOV.AX	FXEKOV
FXG.AX	Felix Gold Limited
FXGO.AX	FXGO
FXPKOB.AX	FXPKOB
FXPKOC.AX	FXPKOC
FXPKOD.AX	FXPKOD
FXPKOE.AX	FXPKOE
FXPKOF.AX	FXPKOF
FXPKOG.AX	FXPKOG
FXPKOQ.AX	Currency Warrant Aud/gbp
FXPKOR.AX	FXPKOR
FXPKOS.AX	FXPKOS
FXPKOT.AX	FXPKOT
FXPKOV.AX	FXPKOV
FXUKOC.AX	Currency Warrant Aus/usd.
FXUKOD.AX	Currency Warrant Aus/usd.
FXUKOE.AX	Currency Warrant Aus/usd.
FXUKOF.AX	Currency Warrant Aus/usd.
FXUKOJ.AX	FXUKOJ
FXUKOM.AX	FXUKOM
FXUKOQ.AX	Currency Warrant Aus/usd.
FXUKOR.AX	Currency Warrant Aus/usd.
FXUKOS.AX	Currency Warrant Aus/usd.
FXUKOV.AX	Currency Warrant Aus/usd.
FXUKOW.AX	Currency Warrant Aus/usd.
FXUKOY.AX	Currency Warrant Aus/usd.
FXUKOZ.AX	Currency Warrant Aus/usd.
FXUMOE.AX	FXUMOE
FXUMOP.AX	FXUMOP
FXUMOQ.AX	FXUMOQ
FXUMOW.AX	FXUMOW
FXUQOP.AX	FXUQOP
FXYKOA.AX	FXYKOA
FXYKOC.AX	FXYKOC
FXYKOF.AX	FXYKOF
FXYKOG.AX	FXYKOG
FXYKOP.AX	Currency Warrant Aud/jpy
FXYKOQ.AX	FXYKOQ
FXYKOR.AX	FXYKOR
FXYKOS.AX	FXYKOS
FXYKOW.AX	FXYKOW
FXZKOB.AX	FXZKOB
FXZKOF.AX	FXZKOF
FXZKOQ.AX	FXZKOQ
FXZKOR.AX	FXZKOR
FXZKOS.AX	FXZKOS
FXZKOT.AX	FXZKOT
FXZKOU.AX	FXZKOU
FZR.AX	Fitzroy River Corporation Ltd
G11.AX	G11 Resources Limited
G1A.AX	Galena Mining Limited
G200.AX	G200
G50.AX	Gold 50 Limited
G6M.AX	Group 6 Metals Limited
G88.AX	Golden Mile Resources Ltd
G88OA.AX	G88OA
GAL.AX	Galicia Energy Corporation Ltd
GAP.AX	Gale Pacific Ltd
GARP.AX	GARP
GAS.AX	GasNet Australia Group
GBE.AX	Globe Uranium Ltd
GBR.AX	G Retail Ltd
GBZ.AX	GBM Resources Ltd
GC1.AX	Glennon Small Companies Limited
GC1PA.AX	GC1PA
GCAP.AX	GCAP
GCI.AX	Gryphon Capital Income Trust
GCM.AX	Garda Capital Group
GCO2.AX	GCO2
GCR.AX	Golden Cross Resources Ltd
GDA.AX	Gondwana Resources Ltd
GDC.AX	Global Data Centre Group
GDF.AX	Garda Diversified Property Fund
GDG.AX	Generation Development Group Limited
GDI.AX	Gdi Property Group
GDM.AX	Goldstream Mining NL
GDX.AX	Vaneck Vectors Gold Miners
GEAR.AX	Betashares Geared Australian Equity
GED.AX	Golden Deeps Ltd
GEM.AX	G8 Education Limited
GEMKOC.AX	G8 Education Limited
GEN.AX	Genesis Research & Devlpmnt Corp Ltd
GES.AX	Genesis Resources Limited
GFL.AX	Global Masters Fund Ltd
GFLGA.AX	GFLGA
GGAB.AX	GGAB
GGE.AX	Grand Gulf Energy Ltd
GGEO.AX	Grand Gulf Energy Limited
GGEOA.AX	GGEOA
GGX.AX	Gas2Grid Ltd
GHHF.AX	GHHF
GHY.AX	Gold Hydrogen Limited
GIB.AX	Gibb River Diamonds Limited
GL1.AX	Global Lithium Resources Limited
GLA.AX	Gladiator Resources Ltd
GLB.AX	Globe International Ltd
GLDN.AX	GLDN
GLE.AX	GLG Corp Ltd
GLH.AX	Global Health Ltd
GLIN.AX	Amp Global Infrastructure Securities (unhedged)
GLL.AX	Galilee Energy Limited
GLN.AX	Gleneagle Gold Ltd
GLNOB.AX	GLNOB
GLOB.AX	GLOB
GLPR.AX	GLPR
GMD.AX	Genesis Minerals Ltd
GMG.AX	Goodman Group
GMGKOB.AX	Goodman Group
GMGKOQ.AX	Goodman Group
GML.AX	Gateway Mining NL
GMN.AX	Gold Mountain Limited
GMNO.AX	GMNO
GMNOC.AX	GMNOC
GMTL.AX	GMTL
GNC.AX	GrainCorp Ltd
GNCKOA.AX	Graincorp Limited
GNCKOB.AX	Graincorp Limited
GNCKOD.AX	Graincorp Limited
GNCKOE.AX	Graincorp Limited
GNCKOF.AX	Graincorp Limited
GNCKOG.AX	GNCKOG
GNCKOP.AX	GNCKOP
GNCKOQ.AX	GNCKOQ
GNCKOR.AX	GNCKOR
GNCKOS.AX	GNCKOS
GNDQ.AX	GNDQ
GNE.AX	Genesis Energy Limited
GNG.AX	Gr Engineering Services Limited
GNM.AX	Gujarat NRE Minerals Ltd
GNMOC.AX	GNMOC
GNP.AX	Genusplus Group Ltd
GOAT.AX	GOAT
GOLD.AX	Etfs Physical Gold
GOR.AX	Gold Road Resources Limited
GOVT.AX	Spdr??s&p?/asx Australian Government Bond Fund
GOW.AX	Gowing Bros Ltd
GOZ.AX	Growthpoint Properties Australia
GPEQ.AX	GPEQ
GPR.AX	Geopacific Resources NL
GPT.AX	General Property Trust
GPTKOA.AX	Gpt Group
GPTKOB.AX	Gpt Group
GPTKOC.AX	Gpt Group
GPTKOE.AX	GPTKOE
GPTKOP.AX	Gpt Group
GPTKOQ.AX	Gpt Group
GPTKOR.AX	Gpt Group
GQG.AX	Gqg Partners Inc.
GR8.AX	Great Dirt Resources Ltd
GRE.AX	Greentech Metals Limited
GRL.AX	Gawler Resources Ltd
GRLO.AX	GRLO
GRR.AX	Grange Resources Ltd
GRV.AX	Greenvale Mining NL
GRX.AX	Goodrich Resources Ltd
GSBG25.AX	Australian Government Treasury Bonds
GSBG26.AX	Australian Government Treasury Bonds
GSBG27.AX	Australian Government Treasury Bonds
GSBG29.AX	Australian Government Treasury Bonds
GSBG33.AX	Australian Government Treasury Bonds
GSBG37.AX	Australian Government Treasury Bonds
GSBK31.AX	GSBK31
GSBK35.AX	Australian Government Treasury Bonds
GSBK39.AX	Australian Government Treasury Bonds
GSBK51.AX	GSBK51
GSBK54.AX	GSBK54
GSBQ26.AX	GSBQ26
GSBU24.AX	GSBU24
GSBU25.AX	GSBU25
GSBU27.AX	Australian Government Treasury Bonds
GSBU28.AX	Australian Government Treasury Bonds
GSBU29.AX	GSBU29
GSBU31.AX	GSBU31
GSBU32.AX	GSBU32
GSBU33.AX	GSBU33
GSIC50.AX	GSIC50
GSIO35.AX	Australian Government Treasury Indexed Bonds
GSIO40.AX	Australian Government Treasury Indexed Bonds
GSIQ25.AX	Australian Government Treasury Indexed Bonds
GSIQ30.AX	Australian Government Treasury Indexed Bonds
GSIU27.AX	Australian Government Treasury Indexed Bonds
GSIU32.AX	GSIU32
GSM.AX	Golden State Mining Limited
GSN.AX	Great Southern Mining Limited
GSS.AX	Genetic Signatures Limited
GT1.AX	Green Technology Metals Limited
GTE.AX	Great Western Exploration Ltd
GTG.AX	Genetic Technologies Ltd
GTH.AX	Gathid Ltd
GTI.AX	Globe Securities Ltd
GTK.AX	Gentrack Group Limited
GTN.AX	GTN Resources Ltd
GTR.AX	GTI Resources Ltd
GTRO.AX	GTRO
GUE.AX	Global Uranium And Enrichment Ltd
GUL.AX	Gullewa Ltd
GVF.AX	Global Value Fund Limited
GW1.AX	Greenwing Resources Ltd
GWA.AX	Gwa Group Limited.
GWAKOB.AX	Gwa Group Limited.
GWAKOQ.AX	Gwa Group Limited.
GWR.AX	Golden West Resources Ltd
GYG.AX	Guzman Y Gomez Limited
H100.AX	H100
H2G.AX	H2G
HACK.AX	Betashares Global Cybersecurity
HAL.AX	Halo Technologies Holdings Ltd
HAR.AX	Haranga Resources Limited
HARO.AX	HARO
HAS.AX	Hastings Rare Metals Ltd
HASO.AX	Hastings Rare Metals Ltd
HAV.AX	Havilah Resources NL
HAW.AX	Hawthorn Resources Ltd
HCD.AX	Huadu City Development Ltd
HCF.AX	H&g High Conviction Limited
HCH.AX	Hot Chili Limited
HCL.AX	Highcom Limited
HCT.AX	Holista Colltech Limited
HCW.AX	Healthco Healthcare And Wellness Reit
HDN.AX	Haddington Resources Ltd
HE8.AX	Helios Energy Ltd
HETH.AX	HETH
HEUR.AX	Betashares Wisdomtree Europe (currency Hedged)
HFR.AX	Highfield Resources Limited
HFY.AX	Hubify Limited
HGBL.AX	HGBL
HGEN.AX	HGEN
HGH.AX	Heartland Group Holdings Limited
HGL.AX	Hudson Investment Group Ltd
HGO.AX	Hillgrove Resources Ltd
HGV.AX	Hygrovest Limited
HHIF.AX	HHIF
HHR.AX	Hartshead Resources Nl
HIO.AX	Hawsons Iron Ltd
HIOO.AX	HIOO
HIQ.AX	Hitiq Limited
HIQO.AX	HIQO
HIT.AX	Hitech Group Australia Ltd
HJPN.AX	Betashares Wisdomtree Japan (currency Hedged)
HJZP.AX	HJZP
HLI.AX	Hailian International Ltd
HLIKOA.AX	HLIKOA
HLIKOC.AX	HLIKOC
